TIME,WEIGHT,POROSITY
1.29671538751e-06,3.4502,23.1900206468
14.9399944954,3.4883,23.4461042903
29.8797552579,3.5244,23.6887452228
44.8209984903,3.5442,23.8218280611
59.7610030353,3.567,23.9750749659
74.700001005,3.5981,24.184109121
89.6370036538,3.62,24.3313068058
104.580024683,3.6339,24.4247336469
119.519009037,3.6523,24.5484065876
134.461008255,3.6665,24.6438498352
149.398006365,3.6837,24.7594571494
164.341012158,3.6924,24.817932942
179.279012953,3.7087,24.9274910361
194.220015969,3.7212,25.0115079795
209.163017223,3.7237,25.0283113682
224.10202427,3.7298,25.0693116366
239.041026454,3.7407,25.1425744112
253.984021225,3.7506,25.2091158304
268.924013451,3.7534,25.2279356257
283.860010173,3.7608,25.2776736562
298.803026988,3.7689,25.3321166355
313.744028383,3.7741,25.367067684
328.683034457,3.7794,25.4026908679
343.625040806,3.7832,25.4282320187
358.564034237,3.7878,25.4591502539
373.504052398,3.7917,25.4853635402
388.445046985,3.7997,25.539134384
403.384097796,3.8071,25.5888724145
418.324043016,3.8115,25.6184463786
433.265044735,3.8147,25.6399547161
448.205048956,3.8229,25.6950698309
463.145049935,3.8249,25.7085125419
478.085050914,3.7177,24.9879832354
493.026055226,3.7281,25.0578853323
507.966057502,3.7348,25.1029184139
522.907105903,3.7401,25.1385415979
537.847058904,3.7469,25.1842468151
552.78705891,3.7551,25.23936193
567.728063871,3.7587,25.2635588097
582.666072771,3.7606,25.2763293851
597.608070368,3.7678,25.3247231445
612.548066484,3.7725,25.3563135152
627.487070289,3.7804,25.4094122234
642.427084883,3.7858,25.445707543
657.369075348,3.7932,25.4954455735
672.308075263,3.7978,25.5263638086
687.247085227,3.8006,25.5451836039
702.188080138,3.8055,25.5781182457
717.129080561,3.8112,25.6164299719
732.069086402,3.8168,25.6540695626
747.010085528,3.8198,25.674233629
761.950075485,3.8241,25.7031354575
776.88206179,3.8304,25.745479997
791.830073877,3.8357,25.781103181
806.771098289,3.8351,25.7770703677
821.711094729,3.8395,25.8066443318
836.645116554,3.8453,25.8456281935
851.591107061,3.8489,25.8698250732
866.531103826,3.854,25.9041039861
881.470111197,3.8595,25.9410714412
896.411141119,3.861,25.9511534744
911.352109124,3.8646,25.9753503541
926.292108482,3.8709,26.0176948936
941.231108721,3.8741,26.0392032311
956.173120581,3.8801,26.0795313639
971.112112716,3.884,26.1057446502
986.052118882,3.8875,26.1292693944
1000.99311833,3.892,26.159515494
1015.93311801,3.8963,26.1884173225
1030.87312126,3.8997,26.2112699311
1045.81312192,3.9046,26.2442045729
1060.75412915,3.9074,26.2630243683
1075.69415152,3.9135,26.3040246366
1090.63314819,3.916,26.3208280253
1105.57413079,3.917,26.3275493808
1120.51413533,3.9194,26.3436806339
1135.45411589,3.9221,26.3618282937
1150.39513868,3.9267,26.3927465289
1165.3331385,3.9324,26.431058255
1180.27314532,3.9375,26.465337168
1195.21514907,3.9452,26.5170916051
1210.15414315,3.9485,26.5392720781
1225.09418141,3.9516,26.5601082801
1240.03521944,3.9562,26.5910265153
1254.97615178,3.958,26.6031249551
1269.91315605,3.9615,26.6266496993
1284.85515333,3.9702,26.6851254919
1299.79816041,3.972,26.6972239317
1314.72816858,3.9731,26.7046174227
1329.67716358,3.98,26.7509947755
1344.60914794,3.9837,26.7758637907
1359.54915346,3.9882,26.8061098903
1374.4881725,3.9912,26.8262739568
1389.42817899,3.9971,26.865929954
1404.36813912,3.9985,26.8753398517
1419.30717664,4.0022,26.9002088669
1434.25018276,4.0075,26.9358320509
1449.19222995,4.0117,26.9640617439
1464.12918235,4.0124,26.9687666927
1479.0721862,4.0138,26.9781765904
1494.01220793,4.0178,27.0050620123
1508.94919923,4.0225,27.036652383
1523.89119164,4.0271,27.0675706182
1538.83219336,4.0265,27.0635378049
1553.7691986,4.0318,27.0991609889
1568.71120301,4.0343,27.1159643776
1583.65221704,4.0394,27.1502432905
1598.78220271,4.0423,27.1697352213
1613.72019346,4.0465,27.1979649143
1628.66819582,4.0547,27.2530800292
1643.60820004,4.0552,27.2564407069
1658.54619986,4.062,27.3021459241
1673.48817541,4.0624,27.3048344663
1688.42823118,4.0655,27.3256706683
1703.36820687,4.0727,27.3740644277
1718.30720808,4.0746,27.3868350031
1733.24921054,4.0797,27.421113916
1748.18821111,4.0817,27.4345566269
1763.1262132,4.0841,27.45068788
1778.06819037,4.0879,27.4762290308
1793.00821988,4.0918,27.5024423172
1807.95022007,4.0938,27.5158850281
1822.88922128,4.1001,27.5582295676
1837.83022365,4.1014,27.5669673297
1852.77026872,4.1038,27.5830985828
1867.71023177,4.1099,27.6240988512
1882.64923427,4.099,27.5508360766
